time,wx,wy,wz,a0,a1,a2,a3
5.599999999999996092e+00,8.259948545738332593e-02,7.953005018999592668e-02,4.499802756289988936e-02,9.410437504104476325e-01,2.316907997699044486e-01,2.061471343494202246e-01,1.351273181667682899e-01
5.699999999999995737e+00,8.251701668910925436e-02,7.968562471664673852e-02,4.486125207502267287e-02,9.389455753209430267e-01,2.354929557008711150e-01,2.099303543650709036e-01,1.373081232726113265e-01
5.799999999999995381e+00,8.243463775914505742e-02,7.984057150456358443e-02,4.472434585681454161e-02,9.368120732955681484e-01,2.392798121805040368e-01,2.137139332028760164e-01,1.394799826694792522e-01
5.899999999999995026e+00,8.235235053570753860e-02,7.999489121511470235e-02,4.458731037062566710e-02,9.346433355626351247e-01,2.430511996168275846e-01,2.174977012342586835e-01,1.416428593716805573e-01
5.999999999999994671e+00,8.227015687909719488e-02,8.014858451800359329e-02,4.445014707046097274e-02,9.324394547328275218e-01,2.468069494027654576e-01,2.212814887331630564e-01,1.437967166804701435e-01
6.099999999999994316e+00,8.218805864168139685e-02,8.030165209115956715e-02,4.431285740196673484e-02,9.302005247939549859e-01,2.505468939215272917e-01,2.250651258849954983e-01,1.459415181834717579e-01
6.199999999999993960e+00,8.210605766787820725e-02,8.045409462062855233e-02,4.417544280241780807e-02,9.279266411056648067e-01,2.542708665519261002e-01,2.288484427955549128e-01,1.480772277541043402e-01
6.299999999999993605e+00,8.202415579414082392e-02,8.060591280046415508e-02,4.403790470070550328e-02,9.256179003941070738e-01,2.579787016736248551e-01,2.326312694999509711e-01,1.502038095510120630e-01
6.399999999999993250e+00,8.194235484894270283e-02,8.075710733261899643e-02,4.390024451732609662e-02,9.232744007465606417e-01,2.616702346723153716e-01,2.364134359715113487e-01,1.523212280174990052e-01
6.499999999999992895e+00,8.186065665276329173e-02,8.090767892683628504e-02,4.376246366436997715e-02,9.208962416060132439e-01,2.653453019448267503e-01,2.401947721306759986e-01,1.544294478809681848e-01
6.599999999999992539e+00,8.177906301807436051e-02,8.105762830054169532e-02,4.362456354551140503e-02,9.184835237657021922e-01,2.690037409041656780e-01,2.439751078538789919e-01,1.565284341523649758e-01
6.699999999999992184e+00,8.169757574932698385e-02,8.120695617873552319e-02,4.348654555599889421e-02,9.160363493636116683e-01,2.726453899844873408e-01,2.477542729824168954e-01,1.586181521256253280e-01
6.799999999999991829e+00,8.161619664293913445e-02,8.135566329388513318e-02,4.334841108264621268e-02,9.135548218769284912e-01,2.762700886459977800e-01,2.515320973313033837e-01,1.606985673771287593e-01
6.899999999999991473e+00,8.153492748728387307e-02,8.150375038581765541e-02,4.321016150382400028e-02,9.110390461164583620e-01,2.798776773797876372e-01,2.553084106981099444e-01,1.627696457651564288e-01
6.999999999999991118e+00,8.145377006267816300e-02,8.165121820161307109e-02,4.307179818945199024e-02,9.084891282209994756e-01,2.834679977125974526e-01,2.590830428717914580e-01,1.648313534293541494e-01
7.099999999999990763e+00,8.137272614137229521e-02,8.179806749549750622e-02,4.293332250099182040e-02,9.059051756516781628e-01,2.870408922115148531e-01,2.628558236414972882e-01,1.668836567902007295e-01
7.199999999999990408e+00,8.129179748753984081e-02,8.194429902873691385e-02,4.279473579144044831e-02,9.032872971862430100e-01,2.905962044886035156e-01,2.666265828053662745e-01,1.689265225484817279e-01
7.299999999999990052e+00,8.121098585726825581e-02,8.208991356953102003e-02,4.265603940532417676e-02,9.006356029133197882e-01,2.941337792054641298e-01,2.703951501793059875e-01,1.709599176847684809e-01
7.399999999999989697e+00,8.113029299855008258e-02,8.223491189290763059e-02,4.251723467869323453e-02,8.979502042266279682e-01,2.976534620777279705e-01,2.741613556057556078e-01,1.729838094589030151e-01
7.499999999999989342e+00,8.104972065127463710e-02,8.237929478061725708e-02,4.237832293911695386e-02,8.952312138191583779e-01,3.011550998794824685e-01,2.779250289624316528e-01,1.749981654094885930e-01
7.599999999999988987e+00,8.096927054722040384e-02,8.252306302102803415e-02,4.223930550567953773e-02,8.924787456773121130e-01,3.046385404476297243e-01,2.816860001710568273e-01,1.770029533533860333e-01
7.699999999999988631e+00,8.088894441004786107e-02,8.266621740902105331e-02,4.210018368897637531e-02,8.896929150750015891e-01,3.081036326861776309e-01,2.854440992060707227e-01,1.789981413852161363e-01
7.799999999999988276e+00,8.080874395529295817e-02,8.280875874588597418e-02,4.196095879111094024e-02,8.868738385677147340e-01,3.115502265704643281e-01,2.891991561033226410e-01,1.809836978768682159e-01
7.899999999999987921e+00,8.072867089036112054e-02,8.295068783921701050e-02,4.182163210569227185e-02,8.840216339865410999e-01,3.149781731513151550e-01,2.929510009687454897e-01,1.829595914770145992e-01
7.999999999999987566e+00,8.064872691452180942e-02,8.309200550280929076e-02,4.168220491783296289e-02,8.811364204321621152e-01,3.183873245591338774e-01,2.966994639870113026e-01,1.849257911106318986e-01
8.099999999999987210e+00,8.056891371890363696e-02,8.323271255655551037e-02,4.154267850414773700e-02,8.782183182688034773e-01,3.217775340079265245e-01,3.004443754301663883e-01,1.868822659785281948e-01
8.199999999999986855e+00,8.048923298648996694e-02,8.337280982634302784e-02,4.140305413275258833e-02,8.752674491181536842e-01,3.251486557992601667e-01,3.041855656662476592e-01,1.888289855568772435e-01
8.299999999999986500e+00,8.040968639211515390e-02,8.351229814395128015e-02,4.126333306326442074e-02,8.722839358532444853e-01,3.285005453261545250e-01,3.079228651678779793e-01,1.907659195967589816e-01
8.399999999999986144e+00,8.033027560246119858e-02,8.365117834694958676e-02,4.112351654680125590e-02,8.692679025922972480e-01,3.318330590769082433e-01,3.116561045208409708e-01,1.926930381237067780e-01
8.499999999999985789e+00,8.025100227605501402e-02,8.378945127859531439e-02,4.098360582598298274e-02,8.662194746925351296e-01,3.351460546388602135e-01,3.153851144326351719e-01,1.946103114372619569e-01
8.599999999999985434e+00,8.017186806326616344e-02,8.392711778773245812e-02,4.084360213493259256e-02,8.631387787439591674e-01,3.384393907020842862e-01,3.191097257410063781e-01,1.965177101105347601e-01
8.699999999999985079e+00,8.009287460630512556e-02,8.406417872869058339e-02,4.070350669927799703e-02,8.600259425630906174e-01,3.417129270630197557e-01,3.228297694224579462e-01,1.984152049897724979e-01
8.799999999999984723e+00,8.001402353922205946e-02,8.420063496118412871e-02,4.056332073615431799e-02,8.568810951866798753e-01,3.449665246280365638e-01,3.265450766007394479e-01,2.003027671939349719e-01
8.899999999999984368e+00,7.993531648790609678e-02,8.433648735021215259e-02,4.042304545420671164e-02,8.537043668653810924e-01,3.482000454169357218e-01,3.302554785553119543e-01,2.021803681142769205e-01
8.999999999999984013e+00,7.985675507008510587e-02,8.447173676595848280e-02,4.028268205359371301e-02,8.504958890573952601e-01,3.514133525663855617e-01,3.339608067297911709e-01,2.040479794139380965e-01
9.099999999999983658e+00,7.977834089532592765e-02,8.460638408369219876e-02,4.014223172599104550e-02,8.472557944220784343e-01,3.546063103332935396e-01,3.376608927403662586e-01,2.059055730275403395e-01
9.199999999999983302e+00,7.970007556503516666e-02,8.474043018366858582e-02,4.000169565459597842e-02,8.439842168135180955e-01,3.577787840981134782e-01,3.413555683841952293e-01,2.077531211607921702e-01
9.299999999999982947e+00,7.962196067246037068e-02,8.487387595103047799e-02,3.986107501413215654e-02,8.406812912740795340e-01,3.609306403680903053e-01,3.450446656477767493e-01,2.095905962901014885e-01
9.399999999999982592e+00,7.954399780269179321e-02,8.500672227571001716e-02,3.972037097085490132e-02,8.373471540279169290e-01,3.640617467804397878e-01,3.487280167152963517e-01,2.114179711621950453e-01
9.499999999999982236e+00,7.946618853266451676e-02,8.513897005233080073e-02,3.957958468255703965e-02,8.339819424744561172e-01,3.671719721054659824e-01,3.524054539769485017e-01,2.132352187937464338e-01
9.599999999999981881e+00,7.938853443116108966e-02,8.527062018011048738e-02,3.943871729857517661e-02,8.305857951818440554e-01,3.702611862496149042e-01,3.560768100372331268e-01,2.150423124710112432e-01
9.699999999999981526e+00,7.931103705881467625e-02,8.540167356276380517e-02,3.929776995979644694e-02,8.271588518803699719e-01,3.733292602584661335e-01,3.597419177232267229e-01,2.168392257494706488e-01
9.799999999999981171e+00,7.923369796811252641e-02,8.553213110840598987e-02,3.915674379866577320e-02,8.237012534558536547e-01,3.763760663196608625e-01,3.634006100928270921e-01,2.186259324534822468e-01
9.899999999999980815e+00,7.915651870340004170e-02,8.566199372945665358e-02,3.901563993919354018e-02,8.202131419430062076e-01,3.794014777657688242e-01,3.670527204429723245e-01,2.204024066759397160e-01
9.999999999999980460e+00,7.907950080088517464e-02,8.579126234254406957e-02,3.887445949696375497e-02,8.166946605187579422e-01,3.824053690770913838e-01,3.706980823178320783e-01,2.221686227779395284e-01
1.009999999999998010e+01,7.900264578864329978e-02,8.591993786840994296e-02,3.873320357914267903e-02,8.131459534955607360e-01,3.853876158844046773e-01,3.743365295169731044e-01,2.239245553884568474e-01
1.019999999999997975e+01,7.892595518662257059e-02,8.604802123181454210e-02,3.859187328448786952e-02,8.095671663146594144e-01,3.883480949716403563e-01,3.779678961034967366e-01,2.256701794040289477e-01
1.029999999999997939e+01,7.884943050664959541e-02,8.617551336144232965e-02,3.845046970335770642e-02,8.059584455393332680e-01,3.912866842785043264e-01,3.815920164121481273e-01,2.274054699884468511e-01
1.039999999999997904e+01,7.877307325243561309e-02,8.630241518980802384e-02,3.830899391772134288e-02,8.023199388481120353e-01,3.942032629030355895e-01,3.852087250573985044e-01,2.291304025724556215e-01
1.049999999999997868e+01,7.869688491958307108e-02,8.642872765316310379e-02,3.816744700116909972e-02,7.986517950279616862e-01,3.970977111041034679e-01,3.888178569414980079e-01,2.308449528534627371e-01
