time,wx,wy,wz,a0,a1,a2,a3
6.299999999999993605e+00,8.202415579414082392e-02,8.060591280046415508e-02,4.403790470070550328e-02,1.339343108665700388e-01,1.207703753061502294e-01,7.798157763051334623e-02,0.000000000000000000e+00
6.399999999999993250e+00,8.194235484894270283e-02,8.075710733261899643e-02,4.390024451732609662e-02,1.360157340717120522e-01,1.228827130191041811e-01,7.917687953192310835e-02,0.000000000000000000e+00
6.499999999999992895e+00,8.186065665276329173e-02,8.090767892683628504e-02,4.376246366436997715e-02,1.380961399899559017e-01,1.250020019310200126e-01,8.037175025290246855e-02,0.000000000000000000e+00
6.599999999999992539e+00,8.177906301807436051e-02,8.105762830054169532e-02,4.362456354551140503e-02,1.401755455976961828e-01,1.271282872617447990e-01,8.156623045314563558e-02,0.000000000000000000e+00
6.699999999999992184e+00,8.169757574932698385e-02,8.120695617873552319e-02,4.348654555599889421e-02,1.422539678442535926e-01,1.292616146585194026e-01,8.276036079074065854e-02,0.000000000000000000e+00
6.799999999999991829e+00,8.161619664293913445e-02,8.135566329388513318e-02,4.334841108264621268e-02,1.443314236509691262e-01,1.314020302006872754e-01,8.395418192545421598e-02,0.000000000000000000e+00
6.899999999999991473e+00,8.153492748728387307e-02,8.150375038581765541e-02,4.321016150382400028e-02,1.464079299102796494e-01,1.335495804044652679e-01,8.514773452202704929e-02,0.000000000000000000e+00
6.999999999999991118e+00,8.145377006267816300e-02,8.165121820161307109e-02,4.307179818945199024e-02,1.484835034847742929e-01,1.357043122277772074e-01,8.634105925348053989e-02,0.000000000000000000e+00
7.099999999999990763e+00,8.137272614137229521e-02,8.179806749549750622e-02,4.293332250099182040e-02,1.505581612062309727e-01,1.378662730751511745e-01,8.753419680443509654e-02,0.000000000000000000e+00
7.199999999999990408e+00,8.129179748753984081e-02,8.194429902873691385e-02,4.279473579144044831e-02,1.526319198746325656e-01,1.400355108026813122e-01,8.872718787444075494e-02,0.000000000000000000e+00
7.299999999999990052e+00,8.121098585726825581e-02,8.208991356953102003e-02,4.265603940532417676e-02,1.547047962571619917e-01,1.422120737230552767e-01,8.992007318132069771e-02,0.000000000000000000e+00
7.399999999999989697e+00,8.113029299855008258e-02,8.223491189290763059e-02,4.251723467869323453e-02,1.567768070871757569e-01,1.443960106106481622e-01,9.111289346452819404e-02,0.000000000000000000e+00
7.499999999999989342e+00,8.104972065127463710e-02,8.237929478061725708e-02,4.237832293911695386e-02,1.588479690631552643e-01,1.465873707066840115e-01,9.230568948851755606e-02,0.000000000000000000e+00
7.599999999999988987e+00,8.096927054722040384e-02,8.252306302102803415e-02,4.223930550567953773e-02,1.609182988476351717e-01,1.487862037244656044e-01,9.349850204612968063e-02,0.000000000000000000e+00
7.699999999999988631e+00,8.088894441004786107e-02,8.266621740902105331e-02,4.210018368897637531e-02,1.629878130661082947e-01,1.509925598546739689e-01,9.469137196199277351e-02,0.000000000000000000e+00
7.799999999999988276e+00,8.080874395529295817e-02,8.280875874588597418e-02,4.196095879111094024e-02,1.650565283059062249e-01,1.532064897707382245e-01,9.588434009593882479e-02,0.000000000000000000e+00
7.899999999999987921e+00,8.072867089036112054e-02,8.295068783921701050e-02,4.182163210569227185e-02,1.671244611150552728e-01,1.554280446342771183e-01,9.707744734643650175e-02,0.000000000000000000e+00
7.999999999999987566e+00,8.064872691452180942e-02,8.309200550280929076e-02,4.168220491783296289e-02,1.691916280011066254e-01,1.576572761006130863e-01,9.827073465404097263e-02,0.000000000000000000e+00
8.099999999999987210e+00,8.056891371890363696e-02,8.323271255655551037e-02,4.154267850414773700e-02,1.712580454299404142e-01,1.598942363243600895e-01,9.946424300486135517e-02,0.000000000000000000e+00
8.199999999999986855e+00,8.048923298648996694e-02,8.337280982634302784e-02,4.140305413275258833e-02,1.733237298245428326e-01,1.621389779650861396e-01,1.006580134340463173e-01,0.000000000000000000e+00
8.299999999999986500e+00,8.040968639211515390e-02,8.351229814395128015e-02,4.126333306326442074e-02,1.753886975637553858e-01,1.643915541930518753e-01,1.018520870292885239e-01,0.000000000000000000e+00
8.399999999999986144e+00,8.033027560246119858e-02,8.365117834694958676e-02,4.112351654680125590e-02,1.774529649809959142e-01,1.666520186950260218e-01,1.030465049343485401e-01,0.000000000000000000e+00
8.499999999999985789e+00,8.025100227605501402e-02,8.378945127859531439e-02,4.098360582598298274e-02,1.795165483629501957e-01,1.689204256801791759e-01,1.042413083525988299e-01,0.000000000000000000e+00
8.599999999999985434e+00,8.017186806326616344e-02,8.392711778773245812e-02,4.084360213493259256e-02,1.815794639482338213e-01,1.711968298860569448e-01,1.054365385505884462e-01,0.000000000000000000e+00
8.699999999999985079e+00,8.009287460630512556e-02,8.406417872869058339e-02,4.070350669927799703e-02,1.836417279260230129e-01,1.734812865846335483e-01,1.066322368616291344e-01,0.000000000000000000e+00
